offre_id,competence_code,competence_libelle
192WXGD,100259,Utilisation de matériel de nettoyage
192WXGD,300147,"Adapter et optimiser sa pratique au contexte et aux risques professionnels (gestes, postures, ergonomie)"
192WXGD,402021,"Adapter ses comportements à des interlocuteurs différents (collègues, hiérarchiques, services connexes)"
192WXGD,489939,Appliquer et respecter les recommandations de dosage des différents produits d'entretien
192WXGD,400815,Appliquer les principes du bio-nettoyage
192WXGD,400637,Appliquer les recommandations de dosage des différents produits d'entretien
192WXGD,124101,Approvisionner un chariot de ménage/chariot de linge
192WXGD,404317,Créer une relation de confiance avec les patients
192WXGD,104163,"Identifier et signaler les dysfonctionnements, les dégradations du mobilier et des équipements de la chambre"
192WXGD,124719,Identifier les facteurs de risques sanitaires ou environnementaux
192WXGD,482933,Maintenir un environnement sécurisé et confortable
192WXGD,119622,Manipuler des produits de nettoyage et d'entretien
192WXGD,126384,"Nettoyer, désinfecter et ranger la chambre et l'installation sanitaire"
192WXGD,482991,Organiser le nettoyage des surfaces et sols en milieu hospitalier
192WXGD,110155,"Préparer, servir et débarrasser les plateaux-repas"
192WXGD,300451,Relayer de l'information
192WXGD,300448,"Respecter des règles, des consignes, normes et procédures opérationnelles"
192WXGD,404219,Respecter les protocoles de nettoyage et de désinfection
192WXGD,486952,Respecter les protocoles de sécurité et d'hygiène en milieu hospitalier
192WXGD,300446,"Respecter les règles de Qualité, Hygiène, Sécurité, Santé et Environnement (QHSSE)"
192WXGD,300447,Respecter les règles d'éthique et de déontologie
192WXGD,489938,Tracer les actions d'hygiène réalisées
192WXGD,107327,Vérifier le contenu du chariot de ménage et procéder à la préparation des solutions de nettoyage
192WLPN,300282,"Entretenir, nettoyer un espace, un lieu, un local"
192WLPN,300181,"Entretenir un équipement, une machine, une installation"
192WLPN,300375,"Organiser, aménager un espace de vente"
192WLPN,300374,Présenter et valoriser un produit ou un service
192VVQT,100090,Techniques pédagogiques
192VVQT,300026,Concevoir l'ingénierie de formation et les séquences pédagogiques
192VVPN,117781,Comptabilité client
192VVPN,117782,Comptabilité fournisseurs
192VVPN,120886,Logiciels comptables
192VVPN,300305,"Effectuer le suivi des commandes, la facturation"
192VVPN,300318,Réaliser des opérations comptables
192VVPN,117141,Codifier un titre
192VVPN,123228,Enregistrer les recettes d'une entreprise
192VVPN,122050,Contrôler les recettes d'une entreprise
192VDVM,124966,Types de sandwichs
192VDVM,300282,"Entretenir, nettoyer un espace, un lieu, un local"
192VDVM,104227,"Préparer, assembler des plats simples"
192VDVM,483906,Assurer le nettoyage des équipements et du lieu de travail
192VDVM,300268,Conditionner des produits
192VDVM,483320,Maintenir un environnement de travail propre et organisé
192VDVM,483907,Maintenir un environnement de travail sécurisé
192VDVM,104262,Réaliser la plonge
192VDVM,300263,"Réceptionner des produits, des matières premières, vérifier la conformité d'une livraison"
192VDVM,300448,"Respecter des règles, des consignes, normes et procédures opérationnelles"
192TQBX,104167,Caractéristiques des produits d'entretien
192TQBX,126141,Baliser les zones glissantes
192TQBX,300152,Préparer du matériel en prévision d'un travail
192TQBX,300282,"Entretenir, nettoyer un espace, un lieu, un local"
192TQBX,300451,Relayer de l'information
192QPNP,100341,Procédures d'encaissement
192QPNP,102995,Règles de tenue de caisse
192QPNP,300303,Procéder à l'encaissement
192QPNP,300361,"Accueillir, orienter, renseigner un public"
192QNDC,107834,Évaluer régulièrement les besoins de la personne
192QNDC,123916,Orienter une personne vers des partenaires relais
192NZPN,300723,Habilitation BAFA
192NZPN,123811,Habilitation Prévention et Secours Civiques de niveau 1 (PSC1)
192NZPN,100144,Respect des normes d'hygiène et de sécurité
192NZPN,300030,Concevoir et animer des activités de détente ou de loisirs
192NZPN,300449,Expliquer et faire respecter les règles et procédures
192NZPN,103909,Informer les parents sur l'organisation de la structure et présenter le programme des activités aux enfants
192NZPN,103913,"Observer le comportement, l'évolution de l'enfant et repérer d'éventuelles difficultés"
192NZPN,107371,Accompagner l'enfant dans l'apprentissage des gestes de la vie quotidienne et des règles de vie en collectivité
192NVLC,300374,Présenter et valoriser un produit ou un service
192NVLC,300375,"Organiser, aménager un espace de vente"
192NVLC,116932,Assurer le suivi des stocks en temps réel
192NVLC,300280,Organiser le traitement des commandes
192LYMX,107201,Actualiser le dossier médical du patient
192LYMX,123905,"Accueillir, orienter et renseigner un patient"
192LYMX,124221,Renseigner des documents médico-administratifs
192LYMX,,Outil informatique
192LYMX,,Termes médicaux
192LPZQ,100341,Procédures d'encaissement
192LPZQ,102405,Techniques de mise en rayon
192LPZQ,300374,Présenter et valoriser un produit ou un service
192LPZQ,300375,"Organiser, aménager un espace de vente"
192LBDC,100290,Techniques de stockage optimisé
192LBDC,116932,Assurer le suivi des stocks en temps réel
192LBDC,300253,Contrôler la conformité des données
192LBDC,119668,"Contrôler la modalité de délivrance de certains médicaments spécifiques (stupéfiants, …)"
192LBDC,118907,Réaliser des préparations pharmaceutiques
192GLST,121228,Contrôler le balisage et l'étiquetage des produits en rayon
192GLST,300375,"Organiser, aménager un espace de vente"
192GLST,102912,Réaliser l'étiquetage de produits
192GLST,300263,"Réceptionner des produits, des matières premières, vérifier la conformité d'une livraison"
192DFZC,107662,Accompagner les patients dans les gestes de la vie quotidienne
192DFZC,107814,Analyser le contexte de vie d'une personne
192DFZC,107834,Évaluer régulièrement les besoins de la personne
192DFZC,107913,Présenter à la personne les activités d'aide ou d'éveil et définir les modalités de mise en oeuvre et d'accompagnement
192DFZC,107915,Repérer les modifications de l'état de santé d'une personne
192CVNY,123905,"Accueillir, orienter et renseigner un patient"
192CVNY,107201,Actualiser le dossier médical du patient
192CVNY,124221,Renseigner des documents médico-administratifs
192BDWF,116932,Assurer le suivi des stocks en temps réel
192BDWF,300376,Mettre en oeuvre des actions commerciales et promotionnelles
192BDWF,300375,"Organiser, aménager un espace de vente"
192BDWF,300374,Présenter et valoriser un produit ou un service
191ZWBX,104167,Caractéristiques des produits d'entretien
191ZWBX,126141,Baliser les zones glissantes
191ZWBX,300282,"Entretenir, nettoyer un espace, un lieu, un local"
191ZWBX,300152,Préparer du matériel en prévision d'un travail
191ZWBX,300451,Relayer de l'information
191YZLJ,124919,"Cuire des viandes, poissons ou légumes"
191YZLJ,300282,"Entretenir, nettoyer un espace, un lieu, un local"
191YZLJ,300090,Préparer des plats culinaires
191YZLJ,116233,Réaliser des techniques de préparation culinaire en collectivité
191YXMX,100090,Techniques pédagogiques
191YXMX,300026,Concevoir l'ingénierie de formation et les séquences pédagogiques
191YQPH,402021,"Adapter ses comportements à des interlocuteurs différents (collègues, hiérarchiques, services connexes)"
191YQPH,300451,Relayer de l'information
191XNRD,300180,"Contrôler la conformité d'un équipement, d'une machine, d'une installation"
191XNRD,300282,"Entretenir, nettoyer un espace, un lieu, un local"
191XNRD,300135,"Monter et régler une installation, une machine"
191XNRD,104854,"Surveiller l'approvisionnement des machines, des installations et le flux des matières ou des produits"
191XJRF,300361,"Accueillir, orienter, renseigner un public"
191XJRF,104090,Assurer un accueil téléphonique
191XJRF,300451,Relayer de l'information
191VBRB,100341,Procédures d'encaissement
191VBRB,102995,Règles de tenue de caisse
191VBRB,300303,Procéder à l'encaissement
191SXDT,120886,Logiciels comptables
191SXDT,117139,Codifier une facture
191SXDT,117140,Codifier un mandat
191SXDT,117141,Codifier un titre
191SXDT,300305,"Effectuer le suivi des commandes, la facturation"
191PCCQ,117785,Logiciels immobiliers
191PCCQ,118873,Recouvrement des loyers et charges
191PCCQ,121368,Analyser une demande de location
191PCCQ,300345,Gérer des réclamations et litiges
191PCCQ,118872,Établir un bail immobilier
191PCCQ,121370,Proposer l'attribution de logements
191PCCQ,300329,Réaliser des opérations de gestion immobilière
191PCCQ,118871,Réaliser un état des lieux
191GJMF,104316,Techniques de service à l'assiette
191GJMF,122435,Système Hazard Analysis Critical Control Point (HACCP)
191GJMF,104230,"Remettre la commande au client (service à l'assiette, emballage à emporter, plateau, ...)"
191GJMF,104262,Réaliser la plonge
191GJMF,124963,Réaliser un service en salle
191GJMF,300181,"Entretenir un équipement, une machine, une installation"
