id,intitule,description,typeContrat,lieuTravail,dateCreation,dureeTravailLibelle,salaire
192WXGD,Agent hôtelier hospitalier / Agente hôtelière hospitalière (H/F),"A pourvoir, poste d'Agent Hôtelier H/F (ASH en milieu hospitalier)  dès que possible 
Temps complet
Poste CDI",CDI,07 - AUBENAS,2025-05-23T10:38:19.227Z,35H Autre,Mensuel de 2100.0 Euros à 2300.0 Euros sur 12.0 mois
192WLPN,Vendeur / Vendeuse en boulangerie-pâtisserie (H/F),"Nous recherchons un(e) vendeur(se) motivé(é), souriant(e), dynamique. 
Accueillir et servir les clients.
Prendre des commandes, maintient du magasin propre et accueillant.
Amplitude horaire du magasin 6h-19h, du mardi au samedi et le dimanche 6h-18h.
Horaire de travail : soit matin, soit après-midi ou soit de journée.
CDI 35h. 2 jours de repos par semaine.",CDI,07 - SOYONS,2025-05-22T17:45:18.815Z,35H Autre,Mensuel de 1801.8 Euros sur 12.0 mois
192VVQT,Formateur Français Histoire Géographie (H/F),"La SEPR, organisation sans but lucratif, fondée en 1864, est une institution de 1er plan en Auvergne-Rhône-Alpes accueillant plus de 3500 apprenants du CAP à la Licence professionnelle. Pionnière de la formation professionnelle et en partenariat avec des acteurs locaux, la SEPR propose des contenus formatifs permettant à chacun.e de se former tout au long de sa vie, accompagné.e par des équipes éducatives et administratives garantes du respect de notre système de valeurs. 

Vous souhaitez participer à la réussite des apprenants en développant vos propres compétences dans un environnement dynamique, collaboratif et humain ? La SEPR saura accompagner votre développement professionnel avec agilité en vous proposant un cadre de travail accueillant et riche d'expérience. 

Sous la responsabilité de la Responsable de pôle, vous développez les compétences, les capacités et les savoirs des apprenants en Français/ Histoire- Géographie dans des classes du CAP (Cuisine, Commercial service en restauration, Production service en restauration, Mécanique automobile, Pâtissier), BP (Boucher, Boulanger, Coiffure), Bac Pro (Cuisine, commerce- vente, service en restauration) et BTS Tourisme en intégrant le cadre professionnel.

- Dispenser les enseignements de Français/ Histoire- Géographie, Enseignement moral et civique dans le respect des référentiels de compétences attendues ; 
- Préparer les séances pédagogiques, réaliser des progressions pédagogiques et élaborer des supports pédagogiques adaptés en collaboration d'équipe ; 
- S'assurer des compétences acquises par l'apprenant durant son parcours de formation et favoriser son apprentissage ; 
- Collaborer avec les maîtres d'apprentissage ou tuteurs, membres de l'équipe pédagogique et responsables légaux ; 
- Assurer des visites en entreprises pour renforcer les liens avec l'entreprise formatrice ; 
- Participer au développement et aux innovations pédagogiques ; 
- Participer aux manifestations de la SEPR (journées portes ouvertes, salon) ; 
- Piloter, coordonner ou participer à des projets éducatifs ou culturels interdisciplinaires ; 
- Participer à des projets de mobilités internationales. 

Profil : Titulaire d'un Master en Lettres et/ou Histoire-Géographie, vous avez une expérience professionnelle de 2 ans minimum en enseignement de ces disciplines et de réelles aptitudes à transmettre. D'un excellent relationnel, vous aimez travailler en équipe et êtes capable de créer un environnement favorable à l'apprentissage avec autorité et bienveillance. Vous maîtrisez le pack office et les outils numériques de communication.

Type de contrat : CDI à temps plein (35h/semaine sur site). Poste à pourvoir à compter du 16 juin 2025. Poste basé à Annonay.

La politique sociale de la SEPR s'appuie sur une rémunération brute de base, une prime de 13ème mois, des tickets restaurants, une mutuelle familiale, une prime d'intéressement annuel, 36 jours de CP et 3 semaines de télétravail/ an.

Afin de garantir le traitement de votre candidature, veuillez préciser la référence FFHG-ANN36 dans l'objet de votre e-mail accompagné de votre cv et d'une lettre de motivation.",CDI,07 - ANNONAY,2025-05-22T12:26:13.735Z,35H Autre,Mensuel de 2150.0 Euros à 2300.0 Euros sur 13.0 mois
192VVPN,Assistant(e) administratif(ve) et comptable (H/F),"Nous recherchons un/une Assistant administratif / Assistante administrative et comptable expérimenté(e) pour rejoindre notre équipe. 
Vous serez en capacité de participer à la tenue des comptes en lien avec la responsable financière et réaliser des tâches administratives pour soutenir l'équipe de gestion.

I) Votre mission 

Comptabilité 
En lien avec la Direction financière, vous aurez pour missions de :
- Traiter la comptabilité tiers (fournisseurs et clients) de la saisie des factures aux paiements
-  Saisir la comptabilité courante, réaliser le lettrage des comptes et les rapprochements bancaires
-  Assurer le suivi des charges fixes (abonnements téléphone, internet, licences, ménages, .) 
-  Contrôler et traiter les notes de frais
-  Participer au suivi du paiement des cotisations 
-  Préparer les déclarations mensuelles de TVA, (actuellement externalisée)
-  Suivre les immobilisations et la prévision de la trésorerie
-  Participer aux clôtures mensuelles et audit annuel

Administration 
En lien avec le Directeur et les services RH, vous aurez pour missions principales de :
-  Assurer les accueils physiques et téléphonique
-  Enregistrer des commandes et réaliser le suivi des traitements
-  Effectuer le pointage Factures vs BL 
-  Être en Backup sur la partie gestion des commandes, en lien avec la Responsable Supply Chain
-  Transmettre les notes de frais au service RH pour traitement sur le bulletin de paye
-  Effectuer la préparation administrative des expéditions / transports

II) Qualifications :
- Bac +2 ou solide expérience dans le domaine de la comptabilité et de l'assistanat ou dans un poste similaire
- Maîtrise des outils bureautiques (pack office dont niveau excel avancé et outils comptables) 
- Qualités rédactionnelles exigées 
- Sens de l'organisation et capacité à gérer plusieurs tâches simultanément
- Polyvalence et diversité des tâches

Vous êtes une personne motivée, organisée, capable de travailler de manière autonome et en équipe. 
Rejoignez notre équipe dynamique dès aujourd'hui 
",CDI,07 - PRIVAS,2025-05-22T12:24:22.605Z,35H Autre,
192VLGQ,Secrétaire administratif / Secrétaire administrative (H/F),"À propos de notre entreprise :
Entreprise artisanale spécialisée dans les travaux de maçonnerie et de couverture du bâti ancien, nous intervenons principalement sur des chantiers de restauration de patrimoine en Ardèche et dans les environs. Forts de notre savoir-faire traditionnel et de notre exigence de qualité, nous cherchons à renforcer notre équipe avec un(e) secrétaire administratif(ve) rigoureux(se) et autonome.

Missions principales :
En lien direct avec le gérant, vous aurez un rôle clé dans le bon fonctionnement administratif de l'entreprise. Vos missions incluront notamment :

Gestion des mails et du courrier

Suivi administratif des chantiers : devis, factures, dossiers client, assurances

Aide à la conception d'outils informatique pour l'établissement des devis, suivi financier, commande des fournitures, heures des salariés

Renégociation des contrats type assurance, prix fournisseurs

Gestion des commandes de fournitures et relations fournisseurs

Préparation des documents pour le comptable et les organismes sociaux

Suivi des plannings et appui à l'organisation logistique

Appuis à la communication digitale sur les réseaux sociaux


Profil recherché :

Expérience en secrétariat administratif, idéalement dans le secteur du bâtiment ou de l'artisanat

Excellente maîtrise des outils bureautiques (Word, Excel, messagerie.)

Sens de l'organisation, autonomie et discrétion

Qualités relationnelles, capacité à s'adapter à une petite structure

Intérêt pour le secteur du patrimoine / du bâti ancien est un plus

Conditions :

Poste basé à Saint-Thomé (07)

Horaires adaptables selon disponibilité et organisation interne

Rémunération selon profil et expérience

Candidature :
Merci d'envoyer votre CV et une lettre de motivation à l'adresse suivante : contact@batir-durable.fr
Pour toute question, vous pouvez nous contacter au 06 17 52 00 09",CDI,07 - ST THOME,2025-05-22T10:04:40.578Z,temps partiel - 21H Autre,
192VDVM,Employé polyvalent / Employée polyvalente de restauration (H/F),"Montage et assemblage des plats de la carte
Cuisson 
Plonge 
Entretien des locaux 

Poste en CDI 35h/semaine
11h-14h /17h30 / 22h30",CDI,07 - ANNONAY,2025-05-21T20:32:24.601Z,35H Autre,Horaire de 11.88 Euros
192TQBX,Agent Service Intérieur (H/F) à ANNONAY,"L'agent de service intérieur (ASI) F/H effectue des tâches et travaux nécessaires au nettoyage et à l'entretien des locaux et espaces de vie, aux mobiliers et aux matériels, dans les espaces collectifs et privatifs (chambres). Il contribue ainsi à l'amélioration constante du cadre de vie des personnes accompagnées.
NETTOYAGE ET HYGIENE DES LOCAUX
Selon le PMS (Plan de Maîtrise Sanitaire), réaliser des prestations d'entretien et de désinfection des locaux et surfaces dans le respect :
Des rythmes de vie des résidants
Des temps collectifs et des perturbations qui résulteraient lors de changements d'habitudes
Dans le respect de la vie privée, de l'intimité et de la discrétion due aux résidants
Selon les règles et procédures d'hygiène et de sécurité établies,
Utiliser les matériels et produits d'entretien conformément aux règles de sécurité et en employant les équipements de protection prévus
Proposer des mises à jour de procédures ou protocoles de nettoyage
Préparer le matériel, les produits et baliser les zones glissantes,
Trier et évacuer les déchets ménagers,
Nettoyer les surfaces vitrées de plain-pied,
Approvisionner de manière continue les distributeurs de papier jetable, de savon,
Dans les temps d'absence des résidents, effectuer un nettoyage complet des espaces privés
Vérifier et assurer le bon fonctionnement des équipements et du matériel
Organiser son travail en fonction des consignes et des priorités identifiées
Nettoyer les matériels et les machines après usage
SECURITE
Signaler les anomalies ou dysfonctionnements à son supérieur hiérarchique
Respecter les normes et règlement sanitaire en vigueur
Prendre connaissance et contrôler l'application des consignes d'hygiène et de sécurité,
Transmettre au directeur de secteur les FDS (Fiches de Données de Sécurité) des nouveaux produits d'entretien utilisés,
Sensibiliser les usagers et les personnels au respect de la propreté des locaux, des matériels et mobiliers,
Entretenir, nettoyer et ranger dans de bonnes conditions les matériels, et produits d'entretien utilisés
GESTION DES ACHATS DE FOURNITURES ET CONSOMMABLES
Participer à la sélection des fournisseurs dans le respect de la qualité et de la maitrise des coûts,
Définir par écrit les bons de commandes,
Commander les produits et fournitures nécessaires à la prestation en lien avec la maîtresse de maison et/ou l'assistante administrative,
Contrôler les commandes réceptionnées : conformité, qualité, quantité. Vérifier et signer les bons de livraison,
Assurer le contrôle qualité des produits et fournitures utilisées,
Contrôler, réapprovisionner les consommables nécessaires à l'activité quotidienne (traçabilité des stocks) et maîtriser les consommations
ENTRETIEN DU LINGE
Collecter le linge sale dans les hébergements et trier le linge
Entretenir le linge : lavage et repassage
Ranger et redistribuer le linge
Appliquer strictement les règles d'hygiène et de sécurité dans la lingerie
COORDINATION
Rendre compte de son action à son responsable hiérarchique,
Communiquer et partager les informations indispensables à la réalisation d'un travail en équipe pluridisciplinaire coopératif,
Conduire son action auprès des usagers en cohérence avec le projet de complexe ou d'établissement, et en collaboration avec les autres intervenants,
Participer aux réunions transversales institutionnelles.
Apporter sa contribution active à la réalisation de la démarche d'amélioration continue de la qualité,
Participer à l'actualisation du projet d'établissement,
Veiller à l'actualisation des connaissances propres à sa fonction
- Exercer sa mission dans le souci de recherche du bien-être, du confort de vie, de la sécurité et de l'hygiène des usagers.
Grille ASI2 - Agent de Service Intérieur - SANS internat - Coefficient de base 413, soit 1 801.80 € (temps plein hors ancienneté) prime Ségur : 238€ brut. CDI à compter du 19/06/2025 basé à l'IME ENVOL. Horaires : Lundi, mardi, jeudi, vendredi : 7h-10/15h30-19h et le Mercredi 7h-10h/13h-19h",CDI,07 - ANNONAY,2025-05-21T14:31:40.078Z,35H Autre,
192RHGP,Agent de conditionnement - (H/F),"Vous recherchez en industrie et vous acceptez le travail d'équipe en 2*8, FCA recrute sur plusieurs postes, 

Nous recherchons des Opérateurs(trices) de conditionnement :
Rattaché(e) au Responsable de ligne, vous êtes chargé(e) d'assurer le conditionnement et l'emballage dans le respect des normes en vigueur applicables à la ligne de conditionnement.

Vos missions :
-Assurer le conditionnement et l'emballage des produits tout en respectant les différentes instructions et procédures mises en place ;
-Réaliser les différentes tâches nécessaires à la production ;
-Participer au rangement et au nettoyage de la ligne de conditionnement suivant le respect des 5S
-Respecter les règles de sécurité

Votre profil : 
Vous savez travailler en équipe,

-Poste en 2*8 : Ce poste est en équipe : 05h00/13h00 ou 13h00/21h00 du Lundi  au Jeudi + 05h00/12h00 ou
12h00/19h00 le vendredi.",CDI,07 - TOURNON SUR RHONE,2025-05-20T08:54:17.393Z,35H Autre,
192QYLP,2 Agents de production (horaires journée)- PlaceVernoux (H/F),"Venez rencontrer l'entreprise pour postuler (venir avec un CV à jour) ou échanger avec elle,
JEUDI 5 JUIN, place Pasteur, sur VERNOUX EN VIVARAIS, lors de l'évènement LA PLACE DE L'EMPLOI : de 9h à 12h30.
Plusieurs entreprises présentes, concernant différents secteurs d'activité.
Retrouver toutes les annonces avec le mot clé ""PlaceVernoux"" sur notre site France Travail

Petite entreprise familiale de 17 personnes spécialisée dans la fabrication de charcuterie régionale ardéchoise, recherche :
==>1 personne pour la fabrication de saucissons :
DÉBUTANT ACCEPTE - Formation interne prévue 
Horaires en journée du  lundi au jeudi 6h30 -16h15 (pauses comprises)
Selon le poste, vos missions seront :
-Réception des matières 1ères -Dosage -Préparation -Hachage -Fabrication du produit

==>1 personne pour faire des aspics (assemblage, pochage..) : Vous devez être minutieux(se)
DÉBUTANT ACCEPTE - Formation interne prévue
Vos horaires sur 4 jours/semaine : lundi, mardi, mercredi et vendredi de 6h à 16h environ (jeudi non travaillé)",CDI,07 - CHATEAUNEUF DE VERNOUX,2025-05-19T16:57:08.989Z,35H Autre,Horaire de 11.88 Euros
192QPNP,Hôte / Hôtesse de caisse (H/F),"Vous réaliserez l'accueil et renseignez les clients lors de leur passage en caisse (prix, produits, services ) avec
l'attitude commerciale (ex: courtoisie, politesse ).
- Valorise auprès des clients les outils de fidélisation dans le respect des règles définies par la
direction.
- Établit les factures sur demande des clients.
Travail les jour fériés et 1 dimanche sur 3",CDI,07 - VERNOUX EN VIVARAIS,2025-05-19T14:51:44.894Z,35H Autre,Horaire de 11.88 Euros
